name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-07-05,27.7,18.7,22.5,27.9,18.7,22.6,15.1,64.4,0,0,0,,0,0,40.5,28.4,285.5,1012.9,52.9,15.5,221,19,7,10,2022-07-05T05:50:01,2022-07-05T20:31:59,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-06,25.2,16,20.4,25.2,16,20.4,12.7,63,0,0,0,,0,0,35.3,28.4,276,1013.8,37.6,16,180.7,15.4,9,10,2022-07-06T05:50:34,2022-07-06T20:31:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-07-07,28.6,15.1,21,27.7,15.1,20.8,11.8,59.2,0,0,0,,0,0,37.1,22.8,268.2,1015,20.2,16,181.8,15.8,8,10,2022-07-07T05:51:09,2022-07-07T20:31:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-07-08,31.8,14.8,22.5,30.5,14.8,22.2,11.6,53.6,0,0,0,,0,0,37.1,25.6,275,1015.4,0.3,16,176.7,15.3,9,10,2022-07-08T05:51:44,2022-07-08T20:31:11,0.33,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-07-09,30.3,14.8,21.9,29.4,14.8,21.7,12.3,57.5,0,0,0,,0,0,33.8,25.5,271.8,1018.5,0,16,188.4,16.2,9,10,2022-07-09T05:52:21,2022-07-09T20:30:51,0.36,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-10,37,14.9,25.2,35.1,14.9,24.6,11.5,48.9,0,0,0,,0,0,35.6,23,287.8,1015.8,0,16,186.1,16.2,9,10,2022-07-10T05:52:59,2022-07-10T20:30:29,0.4,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-07-11,37.3,18.3,27.6,35.4,18.3,26.9,10.9,38.8,0,0,0,,0,0,23.8,23.5,295.2,1010.5,0,16,294.8,25.4,8,10,2022-07-11T05:53:38,2022-07-11T20:30:06,0.43,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1,CI047"
discovery bay california,2022-07-12,31.2,16,22.7,30.3,16,22.5,12.8,56.4,0,0,0,,0,0,35.3,24.4,297.8,1009.9,6.4,16,290.3,25,8,10,2022-07-12T05:54:17,2022-07-12T20:29:40,0.47,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-07-13,30.2,15.5,21.9,29.3,15.5,21.7,13,60.4,0,0,0,,0,0,20.5,22,294.5,1012.3,19.3,16,181.2,15.6,9,10,2022-07-13T05:54:58,2022-07-13T20:29:13,0.5,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-07-14,33.6,15.1,22.6,32.5,15.1,22.3,12.2,55.7,0,0,0,,0,0,41.8,25.7,282.5,1012.4,0,16,187.7,16.2,9,10,2022-07-14T05:55:39,2022-07-14T20:28:44,0.53,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
